Company_ID,Industry,Company_Size,Employees,AI_Investment_USD,AI_Projects,Training_Hours,AI_Adoption_Level,Productivity_Improvement,ROI_Percentage,Employee_Satisfaction
1,IT,Large,2500,500000,12,40,High,28,35,8.7
2,Finance,Medium,850,200000,6,30,Medium,18,22,7.9
3,Healthcare,Large,1800,350000,8,35,High,24,30,8.3
4,Manufacturing,Small,250,50000,2,12,Low,8,10,6.8
5,Retail,Medium,600,120000,4,20,Medium,14,18,7.2
6,IT,Large,3200,750000,15,45,High,32,40,9.0
7,Education,Small,180,30000,1,10,Low,5,7,6.5
8,Telecom,Large,2100,450000,10,38,High,26,33,8.5
9,Finance,Large,1500,400000,9,36,High,23,28,8.1
10,Healthcare,Medium,700,150000,5,24,Medium,16,20,7.5
11,Manufacturing,Medium,950,180000,6,28,Medium,17,21,7.8
12,Retail,Large,2200,300000,7,32,High,21,27,8.0
13,IT,Small,120,40000,2,15,Low,9,11,7.0
14,Telecom,Medium,800,175000,5,25,Medium,15,19,7.4
15,Education,Large,1400,220000,6,30,Medium,18,23,7.9
16,Healthcare,Small,300,60000,2,14,Low,7,9,6.9
17,Finance,Medium,650,160000,4,22,Medium,13,17,7.3
18,IT,Large,2800,680000,14,48,High,34,42,9.1
19,Retail,Small,200,45000,1,10,Low,6,8,6.7
20,Manufacturing,Large,2600,550000,11,42,High,29,36,8.8
